,name,birthDate
0,Aaron Hank,1934-02-05
1,Abacha Sani,1943-09-20
2,Abbado Claudio,1933-06-26
3,Abbas Mahmoud,1935-03-26
4,Abdel Rahman Omar,1938-05-03
5,Abdul-Jabbar Kareem,1947-04-16
6,Abdul-Rauf Mahmoud,1969-03-09
7,Abdullah II King of Jordan,1962-01-30
8,Abdullah Abdullah,1960-01-01
9,Abdulmutallab Umar Farouk,1986-12-22
10,Abizaid John P,1951-04-04
11,Abraham Spencer,1952-06-12
12,Abramoff Jack,1958-02-28
13,Abrams Elliott,1948-01-24
14,Abrams Floyd,1936-07-09
15,Abrams Robert,1938-07-04
16,Abramson Jill,1954-03-19
17,Abreu Bobby,1974-03-11
18,Abu Marzook Mousa Mohammed,1951-01-09
19,Abu-Jamal Mumia,1954-04-24
20,Abubakar Abdulsalam,1942-06-13
21,Accorsi Ernie,1941-10-29
22,Aciman Andre,1951-01-02
23,Ackerman Bruce,1943-08-19
24,Ackerman Gary L,1942-11-19
25,Ackermann Josef,1948-02-07
26,Ackroyd Peter,1949-10-05
27,Adams Ansel,1902-02-20
28,Adams Gerry,1948-10-06
29,Adams John Quincy,1767-07-11
30,Ades Thomas,1971-03-01
31,Adu Freddy,1989-06-02
32,Affleck Ben,1972-08-15
33,Agassi Andre,1970-04-29
34,Agbayani Benny,1971-12-28
35,Agnelli Giovanni,1921-01-01
36,Agnew Spiro T,1918-11-09
37,Ahern Bertie,1951-09-12
38,Ahmadinejad Mahmoud,1956-10-28
39,Ahrens Lynn,1948-10-01
40,Ahtisaari Martti,1937-06-23
41,Aiello Danny,1933-06-20
42,Aikman Troy,1966-11-21
43,Ailes Roger E,1940-05-15
44,Ailey Alvin,1931-01-05
45,Aimard Pierre-Laurent,1957-09-09
46,Akayev Askar,1944-11-10
47,Akers Karen,1945-10-13
48,Akinwande Henry,1965-10-12
49,Alagna Roberto,1963-06-07
50,Albee Edward,1928-03-12
51,Albert Marv,1941-06-12
52,Albrecht Chris,1952-07-24
53,Albright Madeleine K,1937-05-15
54,Alcott Louisa May,1832-11-29
55,Alda Alan,1936-01-28
56,Aleman Arnoldo,1946-01-23
57,Alexander Jane,1939-10-28
58,Alexander Jason,1959-09-23
59,Alexander Lamar,1940-07-03
60,Alexie Sherman,1966-10-07
61,Alfonsin Raul,1927-03-12
62,Alfonzo Edgardo,1973-11-08
63,Ali Muhammad,1942-01-17
64,Alito Samuel A Jr,1950-04-01
65,Aliyev Heydar,1923-05-10
66,Allawi Ayad,1945-01-01
67,Allen Joan,1956-08-20
68,Allen Paul,1953-01-21
69,Allen Robert E,1935-01-01
70,Allen Tim,1953-06-13
71,Allen Woody,1935-12-01
72,Allende Gossens Salvador,1908-06-26
73,Allende Isabel,1942-08-02
74,Allison Dorothy,1949-04-11
75,Almodovar Pedro,1949-09-25
76,Almonte Danny,1987-04-07
77,Alomar Roberto,1968-02-05
78,Alou Felipe,1935-05-12
79,Alou Moises,1966-07-03
80,Alsop Marin,1956-10-16
81,Alterman Eric,1960-01-14
82,Altman Robert,1925-02-20
83,Altman Roger C,1946-04-02
84,Amanpour Christiane,1958-01-12
85,Ambrose Stephen E,1936-01-10
86,Amelio Gilbert F,1943-03-01
87,Ames Aldrich Hazen,1941-05-26
88,Amin Idi,1925-01-01
89,Amir Yigal,1970-05-23
90,Amis Martin,1949-08-25
91,Anand Viswanathan,1969-12-11
92,Ananiashvili Nina,1963-03-28
93,Andersen Hans Christian,1805-04-02
94,Anderson Laurie,1947-06-05
95,Anderson Michael P,1959-12-25
96,Anderson Wes,1969-05-01
97,Ando Tadao,1941-09-13
98,Andreotti Giulio,1919-01-14
99,Andrews Julie,1935-10-01
100,Andrews Robert E,1957-08-04
101,Andsnes Leif Ove,1970-04-07
102,Angell Marcia,1939-04-20
103,Angelou Maya,1928-04-04
104,Angier Natalie,1958-02-16
105,Aniston Jennifer,1969-02-11
106,Annan Kofi,1938-04-08
107,Annenberg Walter H,1908-03-13
108,Anthony Carmelo,1984-05-29
109,Anthony Marc,1968-09-16
110,Antonioni Michelangelo,1912-09-29
111,Apatow Judd,1967-12-06
112,Appleby Stuart,1971-05-01
113,Apted Michael,1941-02-10
114,Arad Michael,1969-01-01
115,Arafat Suha,1963-07-17
116,Arafat Yasir,1929-08-24
117,Arar Maher,1970-01-01
118,Arbour Louise,1947-02-10
119,Arbus Diane,1923-03-14
120,Archer Jeffrey,1940-04-15
121,Arena Bruce,1951-09-21
122,Argerich Martha,1941-06-05
123,Aristide Jean-Bertrand,1953-07-15
124,Arkin Alan,1934-03-26
125,Arledge Roone,1931-07-08
126,Armani Giorgio,0007-01-01
127,Armey Dick,1940-07-07
128,Armstead Jessie,1970-10-26
129,Armstrong C Michael,1938-10-18
130,Armstrong Lance,1971-09-18
131,Armstrong Louis,1900-07-04
132,Arnault Bernard,1949-03-05
133,Arnett Peter,1934-11-13
134,Arnott Jason,1974-10-11
135,Arpaio Joseph M,1932-06-14
136,Arroyo Gloria Macapagal,1947-04-05
137,Artest Ron,1979-11-13
138,Arum Bob,1931-12-08
139,Asahara Shoko,1955-03-02
140,Ashbery John,1927-07-28
141,Ashcroft John,1942-05-09
142,Ashe Arthur,1943-07-10
143,Ashkenazy Vladimir,1937-07-06
144,Ashton Frederick,1904-01-01
145,Asimov Eric,1957-07-17
146,Aspan Maria,1982-01-01
147,Assad Bashar Al-,1965-09-11
148,Assad Hafez Al-,1930-10-06
149,Assayas Olivier,1955-01-25
150,Astaire Fred,1899-05-10
151,Astor Brooke,1902-03-30
152,Ataturk Kemal,1881-01-01
153,Atkins Eileen,1934-06-16
154,Atta Mohamed,1968-09-01
155,Atwood Margaret,1939-11-18
156,Auburn David,1969-11-30
157,Auden Wystan Hugh,1907-02-21
158,Audubon John James,1785-04-26
159,Aung San Suu Kyi Daw,1945-06-19
160,Auriemma Geno,1954-03-23
161,Austen Jane,1775-12-16
162,Auster Paul,1947-02-03
163,Autissier Isabelle,1956-10-18
164,Avedon Richard,1923-05-15
165,Avery Milton,1885-03-07
166,Avery Sean,1980-04-10
167,Ax Emanuel,1949-06-08
168,Axelrod David,1955-02-22
169,Ayckbourn Alan,1939-04-12
170,Ayres Ian,1959-01-01
171,Azinger Paul,1960-01-06
172,Aznar Jose Maria,1953-02-25
173,Babbitt Bruce,1938-06-27
174,Babbitt Milton,1916-05-10
175,Bacall Lauren,1924-09-16
176,Bach Johann Sebastian,1685-03-21
177,Bacharach Burt,1928-05-12
178,Bacon Kevin,1958-07-08
179,Badillo Herman,1929-08-21
180,Baez Anthony Ramon,1965-01-01
181,Baez Joan,1941-01-09
182,Baffert Bob,1953-01-13
183,Bai Matt,1968-09-09
184,Bailey Donovan,1967-12-16
185,Bailey F Lee,1933-06-10
186,Bailey Jerry,1957-08-29
187,Baitz Jon Robin,1961-11-04
188,Baiul Oksana,1977-11-16
189,Baker Dusty,1949-06-15
190,Baker Howard H Jr,1925-11-15
191,Baker James A III,1930-04-28
192,Baker Nicholson,1957-01-07
193,Baker Vin,1971-11-23
194,Balaguer Joaquin,1906-09-01
195,Balanchine George,1904-01-22
196,Baldrige Letitia,1926-02-09
197,Baldwin Alec,1958-04-03
198,Baldwin William,1963-02-21
199,Bale Christian,1974-01-30
200,Ball Lucille,1911-08-06
201,Ballmer Steven A,1956-03-24
202,Baltimore David,1938-03-07
203,Ban Shigeru,1957-08-05
204,Banderas Antonio,1960-08-10
205,Banks Russell,1940-03-28
206,Barak Ehud,1942-02-12
207,Baraka Amiri,1934-10-07
208,Baranski Christine,1952-05-02
209,Barber Samuel,1910-03-09
210,Barber Tiki,1975-04-07
211,Barbour Haley,1947-10-22
212,Bardem Javier,1969-03-01
213,Bardot Brigitte,1934-09-28
214,Barenboim Daniel,1942-11-15
215,Barghouti Marwan,1959-06-06
216,Barkley Charles,1963-02-20
217,Barkley Erick,1978-02-21
218,Barksdale James L,1943-01-24
219,Barnes Albert C,1872-01-02
220,Barnes Julian,1946-01-19
221,Barnes Roy E,1948-03-11
222,Barnett Gary,1946-05-23
223,Barney Matthew,1967-03-25
224,Barnicle Mike,1943-10-13
225,Barr Bob,1948-11-05
226,Barron Charles,1951-01-01
227,Barry Dave,1947-07-03
228,Barry Marion S Jr,1936-03-06
229,Barrymore Drew,1974-02-22
230,Barshefsky Charlene,1950-08-11
231,Barstow David,1963-01-21
232,Bart Peter,1932-07-24
233,Barth John,1930-05-27
234,Barthelme Frederick,1943-10-10
235,Bartlett Bruce,1951-10-11
236,Bartok Bela,1881-03-25
237,Bartoli Cecilia,1966-06-04
238,Baryshnikov Mikhail,1948-01-27
239,Barzani Massoud,1946-08-16
240,Basayev Shamil,1965-01-14
241,Bashir Abu Bakar,1938-01-01
242,Bashir Omar Hassan Al-,1944-01-01
243,Basinger Kim,1953-12-08
244,Bastianich Joseph,1968-09-17
245,Batali Mario,1960-09-19
246,Bates John D,1946-10-11
247,Bates Kathy,1948-06-28
248,Battle Kathleen,1948-08-13
249,Batts Deborah A,1947-04-13
250,Baucus Max,1941-12-11
251,Bauer Gary L,1946-05-04
252,Bausch Pina,1940-07-27
253,Bay Michael,1965-02-17
254,Bayh Evan,1955-12-26
255,Baylor Don,1949-06-28
256,Beame Abraham D,1906-03-20
257,Beane Billy,1962-03-29
258,Bearak Barry,1949-08-31
259,Bearden Milt,1940-01-01
260,Bearden Romare,1911-09-02
261,Beattie Ann,1947-09-08
262,Beatty Warren,1937-03-30
263,Bechler Steve,1979-11-18
264,Becker Boris,1967-11-22
265,Beckett Samuel,1906-04-13
266,Beckham David,1975-05-02
267,Beckinsale Kate,1973-07-26
268,Beckmann Max,1884-02-12
269,Beene Geoffrey,1924-08-30
270,Beethoven Ludwig van,1770-12-16
271,Begala Paul,1961-05-12
272,Begley Louis,1933-10-06
273,Beilin Yossi,1948-06-12
274,Belafonte Harry,1927-03-01
275,Belichick Bill,1952-04-16
276,Bell Derrick,1930-11-06
277,Bell Joshua,1967-12-09
278,Bellafante Ginia,1965-03-31
279,Bellamy Carol,1942-01-14
280,Belle Albert,1966-08-25
281,Bellow Saul,1915-06-10
282,Bemba Jean-Pierre,1962-11-04
283,Benes Andy,1967-08-20
284,Benigni Roberto,1952-10-27
285,Bening Annette,1958-05-29
286,Benitez Armando,1972-11-03
287,Bennett Alan,1934-05-09
288,Bennett John O,1948-08-06
289,Bennett Robert S,1939-01-01
290,Bennett Tony,1926-08-03
291,Bennett William J,1943-07-31
292,Berenson Lori Helene,1969-11-13
293,Berezhnaya Yelena,1977-10-11
294,Berg Alban,1885-02-09
295,Bergen Candice,1946-05-09
296,Berger Samuel R,1945-10-28
297,Bergman Ingmar,1918-07-14
298,Berio Luciano,1925-10-24
299,Berisha Sali,1944-10-15
300,Berkoff Steven,1937-08-03
301,Berkow Ira,1940-01-07
302,Berkowitz David,1953-06-01
303,Berle Milton,1908-07-12
304,Berlin Irving,1888-05-11
305,Berlin Isaiah,1909-06-06
306,Berlioz Hector,1803-12-11
307,Berlusconi Silvio,1936-09-29
308,Berman Howard L,1941-04-15
309,Berman Paul,1949-01-01
310,Bernanke Ben S,1953-12-13
311,Bernardin Joseph,1928-04-02
312,Bernays Anne,1930-09-14
313,Bernhard Sandra,1955-06-06
314,Bernstein Carl,1944-02-14
315,Bernstein Jared,1955-01-01
316,Bernstein Leonard,1918-08-25
317,Bernstein Richard,1944-05-05
318,Berra Yogi,1925-05-12
319,Berry Chuck,1926-10-18
320,Berry Halle,1966-08-14
321,Berry Mary Frances,1938-02-17
322,Bertolucci Bernardo,1940-03-16
323,Bertuzzi Todd,1975-02-02
324,Beschloss Michael R,1955-11-30
325,Betancourt Ingrid,1961-12-25
326,Bettis Jerome,1972-02-16
327,Bettman Gary,1952-06-02
328,Bewkes Jeffrey L,1952-05-25
329,Bezos Jeffrey P,1964-01-12
330,Bhagwati Jagdish,1934-07-26
331,Bhutto Benazir,1953-06-21
332,Biden Joseph R Jr,1942-11-20
333,Bildt Carl,1949-07-15
334,Billick Brian,1954-02-28
335,Billington James H,1929-06-01
336,Bin Laden Osama,1957-03-10
337,Bing Rudolf,1902-01-09
338,Bingaman Jeff,1943-10-03
339,Binoche Juliette,1964-03-09
340,Bird Larry,1956-12-07
341,Bittman Mark,1950-01-01
342,Bizet Georges,1838-10-25
343,Black Conrad M,1944-08-25
344,Blackmun Harry A,1908-11-12
345,Blagojevich Rod R,1956-12-10
346,Blahnik Manolo,1942-11-27
347,Blaine David,1973-04-04
348,Blair Cherie,1954-09-23
349,Blair Tony,1953-05-06
350,Blanchett Cate,1969-05-14
351,Blanco Kathleen Babineaux,1942-12-15
352,Blankfein Lloyd C,1954-09-20
353,Bledsoe Drew,1972-02-14
354,Blessing Lee,1949-10-04
355,Blige Mary J,1971-01-11
356,Blinder Alan S,1945-10-14
357,Blix Hans,1928-06-28
358,Block Frederic,1934-06-06
359,Block Lawrence,1938-06-24
360,Blodget Henry,1966-01-01
361,Bloom Claire,1931-02-15
362,Bloom Harold,1930-07-11
363,Bloomberg Michael R,1942-02-14
364,Blume Judy,1938-02-12
365,Blumenthal Richard,1946-02-13
366,Blumenthal Sidney,1948-11-06
367,Blunkett David,1947-06-06
368,Boal Peter,1965-01-01
369,Bocca Julio,1967-03-06
370,Bocelli Andrea,1958-09-22
371,Bochco Steven,1943-12-16
372,Boehner John A,1949-11-17
373,Bogart Anne,1951-09-25
374,Bogart Humphrey,1899-12-25
375,Bogdanich Walt,1950-10-10
376,Bogdanovich Peter,1939-07-30
377,Boggs Wade,1958-06-15
378,Bogle John C,1929-05-08
379,Bogosian Eric,1953-04-24
380,Boies David,1941-03-11
381,Bok Derek,1930-03-22
382,Bolcom William,1938-05-26
383,Bollinger Lee C,1946-04-30
384,Bolt Usain,1986-08-21
385,Bolten Joshua B,1954-08-16
386,Bolton John R,1948-11-20
387,Bon Jovi Jon,1962-03-02
388,Bond Christopher S,1939-03-06
389,Bond Julian,1940-01-14
390,Bonderman David,1942-11-27
391,Bonds Barry,1964-07-24
392,Bonilla Bobby,1963-02-23
393,Bonior David E,1945-06-06
394,Bonnard Pierre,1867-10-03
395,Bonner Raymond,1942-01-01
396,Bonney Barbara,1956-04-14
397,Bono Sonny,1935-02-16
398,Booker Cory A,1969-04-27
399,Boone Aaron,1973-03-09
